EMAILS,advertisement,spam,children,youngadult,adult
Come back and keep earning with Quick Pay Survey,0,0,0,0,0
Congratulations You have been selected for a special scholarship from Unicef ,0,0,0,0,0
Customer Service Officer  19 new jobs  Job Alert from JobStreet,0,0,0,0,0
denis  Your Amazon Prime Membership Cancellation,0,0,0,0,0
Feedback Request How are we doing,0,0,0,0,0
Get ready for Test Co Deo,0,0,0,0,0
Gut Health  Weight Loss Plan Role of Supplement,0,0,0,0,0
HOW TO CANCEL UIF REGISTRATION ,0,0,0,0,0
If coding in Cpp is so extremely hard why do we have so many PlayStation and Nintendo,0,0,0,0,0
June 2023 Account Statement ,0,0,0,0,0
Junior Admin Assistant ,0,0,0,0,0
Linton take the next step on your Windows device by confirming your Google Account settings,0,0,0,0,0
Microsoft Outlook Test Message,0,0,0,0,0
New jobs posted from Plan International,0,0,0,0,0
New login to Instagram from Threads on Infinix X690B ,0,0,0,0,0
Not Satisfied with the Reward,0,0,0,0,0
Notification ,0,0,0,0,0
Order Confirmation for Maliek from Chanellos Pizza,0,0,0,0,0
Q2 Markets and Products Updates,0,0,0,0,0
Quotation for a tombstone ,0,0,0,0,0
Re KPMG 2023 Graduate Recruitment  Aptitude Test Feedback,0,0,0,0,0
Re New Job Openings at International Livestock Research Institute ILRI,0,0,0,0,0
Reply to your CPX Research Ticket238212,0,0,0,0,0
Sales executive ,0,0,0,0,0
Sathya welcome to Snapchat,0,0,0,0,0
SIR15112294 Your request for content review on Microsoft,0,0,0,0,0
Telemarketing  19 new jobs Job Alert from JobStreet,0,0,0,0,0
Thank you for creating a Netflix account ,0,0,0,0,0
Toloka has sent you 80 USD,0,0,0,0,0
TV LISENCE ,0,0,0,0,0
UPDATE ON STOCK ,0,0,0,0,0
Update on your application at Lemon Recruiting,0,0,0,0,0
Update New Twitch Account Linked,0,0,0,0,0
Updates to Google Play Terms of Service,0,0,0,0,0
Updates to our Privacy Policy,0,0,0,0,0
Venmo primary email address changed,0,0,0,0,0
Verify your Twitch email address,0,0,0,0,0
What is it like to have a six pack,0,0,0,0,0
You applied to job post Translation ISAACAcceptability trTRen US,0,0,0,0,0
Your Account Was Accessed From a New Device,0,0,0,0,0
Your Amazon order of Nike Youth Dunk Low Ls GS,0,0,0,0,0
Your application for the position of Child Protection in Emergencies Specialist Maiduguri  Nigeria,0,0,0,0,0
Your Kilimall Account is Ready  Shopping Now,0,0,0,0,0
Your Steam account Access from new web or mobile device,0,0,0,0,0
Your uploaded document is rejected,0,0,0,0,0
Youve Earned a Reward from Bard Explorers India,0,0,0,0,0
The secrets to SUCCESS,0,0,0,0,0
101 MLB Expert Inside Plus Everything You Need To Have A BLOCKBUSTER Saturday,1,1,0,0,1
Affordable American MBA degree 180 dollar per month,1,1,0,1,0
Combating scams in the Discogs Marketplace,0,0,0,0,0
Do you have 7 dollar Walid,0,0,0,0,0
